Element_ID,Stretch_Value
192,1.05374106746
193,1.03972290166
194,1.05478262906
195,1.05684807464
196,1.03874883469
197,1.04375933049
198,1.05684807464
199,1.03592190049
200,1.04223237641
201,1.02302589674
202,1.07243188442
203,1.0553211199
204,1.05481994565
205,1.05983362736
206,1.06110848287
207,1.0584369579
208,1.02802565098
209,1.05555432272
210,1.04304571494
211,1.02267206719
212,1.06077835641
213,1.02161264927
214,1.02850287485
215,1.07493239309
216,1.04980185895
217,1.05154417997
218,1.02737603978
219,1.06334294067
220,1.04626494915
221,1.04702722834
222,1.05361126917
223,1.03581004459
224,1.03194375729
225,1.03504003454
226,1.04088884135
227,1.05185338826
228,1.04326407799
229,1.04378839724
230,1.05522804546
231,1.03006105105
232,1.02891285859
233,1.02564668371
234,1.04087109684
235,1.05059372555
236,1.04979426918
237,1.03852613959
238,1.03454507608
239,1.04850968089
240,1.04853055093
241,1.02945088938
242,1.05347734429
243,1.0528258907
244,1.02815041925
245,1.05788456299
246,1.02582658279
247,1.05542825892
248,1.05348470784
249,1.054286809
250,1.04792345453
251,1.03554700795
252,1.0528258907
253,1.0508988992
254,1.04850197311
255,1.04056253961
256,1.04981909117
257,1.02758657937
258,1.03602587749
259,1.05272265393
260,1.05178523676
261,1.04014058475
262,1.03743891937
263,1.0450091776
264,1.05232470086
265,1.04220921962
266,1.03329655423
267,1.05272265393
268,1.03848898708
269,1.0427822784
270,1.02336337397
271,1.04301863963
272,1.02338939089
273,1.04760346924
274,1.03742348721
275,1.04744212796
276,1.03927175774
277,1.05788456299
278,1.04746480101
279,1.02325595884
280,1.04496618071
281,1.07405941523
282,1.04490722409
283,1.07540234009
284,1.07261048656
285,1.07235292469
286,1.07529985547
287,1.07864086187
288,1.07319533115
289,1.07533975921
290,1.07429314365
291,1.07399264584
292,1.04783460146
293,1.05272265393
294,1.05705455394
295,1.06820502473
296,1.06682856391
297,1.07864086187
298,1.0721174556
299,1.07726423681
300,1.07786210921
301,1.07203323521
302,1.07775111882
303,1.07219536875
304,1.07775111882
305,1.05010091173
306,1.03662012372
307,1.07738779741
308,1.07724295857
309,1.07072474613
310,1.07023565183
311,1.06484163748
312,1.06514209291
313,1.06657188439
314,1.05319234685
315,1.05472294015
316,1.06357451809
317,1.05273967842
318,1.06143216201
319,1.03121858508
320,1.06649228151
321,1.06690820795
322,1.0394715646
323,1.05345570248
324,1.04576148517
325,1.07009058763
326,1.06824852843
327,1.05370796616
328,1.05485270769
329,1.04351185564
330,1.06377842671
331,1.05421198934
332,1.06063972314
333,1.0500323248
334,1.06365133756
335,1.04141415083
336,1.06941980102
337,1.04590944328
338,1.04293764702
339,1.04207191139
340,1.04997451214
341,1.02921191954
342,1.059543381
343,1.04164950541
344,1.03601442443
345,1.04214025794
346,1.02686266119
347,1.05887610344
348,1.04087800814
349,1.06330132314
350,1.034688442
351,1.03317403913
352,1.04523427701
353,1.04539079078
354,1.04135908922
355,1.04504825696
356,1.04562849148
357,1.03914417071
358,1.03651111204
359,1.03404717021
360,1.04103940993
361,1.05460517425
362,1.034087037
363,1.03202632286
364,1.02952312834
365,1.04638879694
366,1.0306843233
367,1.03112346508
368,1.05248442608
369,1.0560894269
370,1.05286903994
371,1.02938622968
372,1.05058221538
373,1.03018066408
